jd,magpsf,sigmapsf,filter,magzpsci,programid
2458715.6560185,20.432300567626957,0.2389499992132187,ztfg,26.154300689697266,1
2458718.6452431,19.08498764038086,0.1241532415151596,ztfr,26.125986099243164,1
2458718.6577662,19.968469619750977,0.207577034831047,ztfg,26.145469665527344,1
2458724.6570486,18.893081665039062,0.1314178705215454,ztfr,26.133081436157227,1
2458724.673831,19.94548988342285,0.2131803929805755,ztfg,26.071489334106445,1
2458734.6274421,19.347841262817383,0.2046974897384643,ztfr,26.130842208862305,1
